State,City,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
CA,Los Angeles,77,79,75,80,80,77,84,80,77,80,86,81,84,84,91,97,100,101
AZ,Phoenix,77,84,74,71,83,80,84,87,74,79,107,113,140,80,69,74,80,80
CA,San Diego,64,65,66,61,61,66,64,63,61,67,72,67,70,67,67,68,74,77
IL,Chicago,57,53,54,57,62,60,64,64,71,63,76,77,71,77,77,71,77,84
PA,Philadelphia,55,55,57,57,59,57,60,61,59,60,63,66,69,71,68,75,76,80
MI,Detroit,54,54,54,55,57,53,59,53,54,48,54,61,64,74,68,70,73,76
CA,San Francisco,53,52,47,48,48,53,46,51,48,53,52,45,49,48,48,46,48,46
NY,New York,53,52,53,57,56,54,58,61,58,61,67,66,67,66,65,67,65,73
TX,Houston,51,50,52,54,54,53,55,58,58,58,63,65,69,71,68,70,62,67
TX,Dallas,50,50,48,50,51,57,56,58,52,53,57,56,60,65,55,65,59,71
IN,Indianapolis,50,48,49,53,59,60,62,63,64,59,61,69,66,72,67,66,67,70
CA,San Jose,47,45,44,46,44,50,47,51,44,46,54,51,50,48,50,52,54,51
NC,Charlotte,45,48,46,49,48,45,49,54,56,52,58,67,65,64,60,61,61,64
TX,Austin,44,43,42,44,44,44,44,45,42,44,45,43,46,46,35,44,47,48
TN,Memphis,44,44,44,44,45,45,49,52,55,52,55,60,63,67,60,66,58,65
OH,Columbus,44,42,42,44,47,46,49,50,51,41,44,47,45,48,58,60,61,64
TX,San Antonio,43,43,43,46,48,47,47,47,44,48,49,48,48,49,41,45,47,46
FL,Jacksonville,41,42,44,40,44,40,40,45,48,45,48,51,55,57,57,50,54,58
HI,Honolulu,30,31,31,34,29,30,33,37,38,33,23,21,21,25,23,24,25,25
